date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:30	8176/8176	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Nov%202019%2010:24:30%20GMT	https://im.web.akamaidemo.com/	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/index.html	(from )
11:24:30	291/291	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Nov%202019%2010:24:30%20GMT	https://im.web.akamaidemo.com/robots.txt		(from )
11:24:30	10139/10139	---M-Z	200	added ('OK')	text/css	etag:%22279b-5764c9566c577-gzip%22	https://im.web.akamaidemo.com/retail_files/styles.css?id=15	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/retail_files/styles7429.css	(from https://im.web.akamaidemo.com/)
11:24:31	138896/138896	---M--	200	added ('OK')	image/jpeg	etag:%222f1626-53827523a8480%22	https://im.web.akamaidemo.com/retail_files/background/background.jpg	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/retail_files/background/background.jpg	(from https://im.web.akamaidemo.com/)
11:24:32	8471/8471	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Nov%202019%2010:24:32%20GMT	https://im.web.akamaidemo.com/jacket.php	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/jacket.html	(from https://im.web.akamaidemo.com/)
11:24:33	2148501/2148501	---M--	200	added ('OK')	video/mp4	etag:%2220c895-5777b952232e4%22	https://im.web.akamaidemo.com/video/leather.mp4?imwidth=5000	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/video/leather84bf.mp4	(from https://im.web.akamaidemo.com/)
11:24:34	869157/869157	---M--	200	added ('OK')	image/jpeg	etag:%222cd7bf-5367f59ce6bc0%22	https://im.web.akamaidemo.com/retail_files/jacket.jpg	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/retail_files/jacket.jpg	(from https://im.web.akamaidemo.com/)
11:24:34	7215/7215	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Nov%202019%2010:24:34%20GMT	https://im.web.akamaidemo.com/womenstops.php	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/womenstops.html	(from https://im.web.akamaidemo.com/)
11:24:35	69540/69540	---M--	200	added ('OK')	image/jpeg	etag:%22719eb-5367f59ce6bc0%22	https://im.web.akamaidemo.com/retail_files/sparkler.jpg?impolicy=rwdImages	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/retail_files/sparkler6311.jpg	(from https://im.web.akamaidemo.com/)
11:24:35	8325/8325	---M-Z	200	added ('OK')	text/html	date:Fri,%2022%20Nov%202019%2010:24:35%20GMT	https://im.web.akamaidemo.com/jewelry.php	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/jewelry.html	(from https://im.web.akamaidemo.com/)
11:24:35	47919/47919	---M--	200	added ('OK')	image/jpeg	etag:%22e56e2-5367f59ce6bc0%22	https://im.web.akamaidemo.com/retail_files/accessories.jpg?imwidth=600	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/retail_files/accessories4503.jpg	(from https://im.web.akamaidemo.com/)
11:24:35	27424/27424	---M--	200	added ('OK')	image/jpeg	etag:%221c47a0-5367f59ce6bc0%22	https://im.web.akamaidemo.com/retail_files/mens_accessories.jpg?imwidth=300	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/retail_files/mens_accessoriesafb2.jpg	(from https://im.web.akamaidemo.com/)
11:24:35	1951174/1951174	---M--	200	added ('OK')	video/mp4	etag:%221dc5c6-5777dadf98955%22	https://im.web.akamaidemo.com/video/leather-mobile-cropped.mp4	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/video/leather-mobile-cropped.mp4	(from https://im.web.akamaidemo.com/)
11:24:35	63679/63679	---M--	200	added ('OK')	image/jpeg	etag:%22c91a4-5367f59ce6bc0%22	https://im.web.akamaidemo.com/retail_files/mens_jeans.jpg?imwidth=600	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/retail_files/mens_jeans4503.jpg	(from https://im.web.akamaidemo.com/)
11:24:37	10762/10762	---M--	200	added ('OK')	image/jpeg	etag:%229ddda-5367f59ce6bc0%22	https://im.web.akamaidemo.com/retail_files/leather_jacket.jpg?imwidth=300	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/retail_files/leather_jacketafb2.jpg	(from https://im.web.akamaidemo.com/)
11:24:37	203916/203916	---M--	200	added ('OK')	image/jpeg	etag:%229ddda-5367f59ce6bc0%22	https://im.web.akamaidemo.com/retail_files/leather_jacket.jpg?impolicy=cropped&w=1200&h=800&x=0&y=0	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/retail_files/leather_jacket8cd8.jpg	(from https://im.web.akamaidemo.com/)
11:24:37	10139/10139	---M-Z	200	added ('OK')	text/css	etag:%22279b-5764c9566c577-gzip%22	https://im.web.akamaidemo.com/retail_files/styles.css	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/retail_files/styles.css	(from https://im.web.akamaidemo.com/jacket.php)
11:24:37	61962/61962	---M-Z	200	added ('OK')	application/javascript	etag:%22f20a-5567b7aa2a980-gzip%22	https://im.web.akamaidemo.com/retail_files/viewer/js/akamai-viewer.js	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/retail_files/viewer/js/akamai-viewer.js	(from https://im.web.akamaidemo.com/jacket.php)
11:24:37	15991/15991	---M-Z	200	added ('OK')	text/css	etag:%223e77-5567b7a842500-gzip%22	https://im.web.akamaidemo.com/retail_files/viewer/css/akamai-viewer.css	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/retail_files/viewer/css/akamai-viewer.css	(from https://im.web.akamaidemo.com/jacket.php)
11:24:38	43184/43184	---M--	200	added ('OK')	image/jpeg	etag:%2210fd8-5777d57c7125f%22	https://im.web.akamaidemo.com/video/jacket-poster.jpg	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/video/jacket-poster.jpg	(from https://im.web.akamaidemo.com/jacket.php)
11:24:38	1199/1199	---M--	200	added ('OK')	image/jpeg	etag:%2221cc-55706015018c0%22	https://im.web.akamaidemo.com/retail_files/reviews.JPG	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/retail_files/reviews.jpg	(from https://im.web.akamaidemo.com/womenstops.php)
11:24:39	2481/2481	---M--	200	added ('OK')	image/jpeg	etag:%222784-557061ce8ea80%22	https://im.web.akamaidemo.com/retail_files/social.JPG?1	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/retail_files/socialc4ca.jpg	(from https://im.web.akamaidemo.com/womenstops.php)
11:24:39	284/284	---M--	200	added ('OK')	image/svg+xml	etag:%2211c-557070e36b134%22	https://im.web.akamaidemo.com/retail_files/img/arrow-forward.svg	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/retail_files/img/arrow-forward.svg	(from https://im.web.akamaidemo.com/retail_files/viewer/css/akamai-viewer.css)
11:24:39	267/267	---M--	200	added ('OK')	image/svg+xml	etag:%2210b-557070e36b134%22	https://im.web.akamaidemo.com/retail_files/img/arrow-back.svg	C:/Program%20Files/WinHTTrack/sites/test1/im.web.akamaidemo.com/retail_files/img/arrow-back.svg	(from https://im.web.akamaidemo.com/retail_files/viewer/css/akamai-viewer.css)
